제어번호,제목,저자,발행처,발행년도,ISBN번호,분류기호,대출횟수
000001651881,(Hubbard) 화폐금융,Glenn Hubbard,교문사,2023,9788936324063,3,4
000001794503,"(Luvit♥) 커서로 시작하는 바이브 코딩 :AI 기반 코드 작성부터 에이전트, 프롬프트 엔지니어링까지",김진호 지음,Jpub(제이펍),2025,9791194587552,0,4
000001787329,(Minecraft) 최강 몹 왕 결정전 :unofficial book,마인크래 장인조합 지음,서울문화사,2025,9791173714085,6,4
000001592655,(Ross의) 재무관리,Stephen A. Ross,McGraw-hill(맥그로힐에듀케이션코리아),2023,9791132112761,3,4
000001786471,(Using Python) 머신러닝 기반 데이터분석 with case study,박민서 지음,자유아카데미,2025,9791158086763,0,4
000001758617,(Who? special) 오타니 쇼헤이 =Ohtani Shohei,스토리랩 글,다산어린이 : 다산북스,2025,9791130666006,9,4
000001795979,"(공대생이 바라본) 실전사주 .2 ,12운성(양,장생)",박용열,퍼플,2024,9788924133462,1,4
000001795978,"(공대생이 바라본) 실전사주 .3 ,12운성(목욕, 관대)",박용열,퍼플,2024,9788924133493,1,4
000001795980,"(공대생이 바라본) 실전사주 .6 ,12운성(사,묘)",박용열,퍼플,2024,9788924133486,1,4
000001795981,(공대생이 바라본) 실전사주 :천간론 .상,박용열,퍼플,2023,9788924116823,1,4
000001795910,(과학을 좋아하는 사람들을 위한) 반야심경,사지 하루오 지음,불광출판사,2025,9791172611972,2,4
000001094548,(기장 안 맡기고) 혼자하는 경리업무,손원준 지음,지식만들기,2018,9788993943795,3,4
000001634476,"(김재우의) 영어회화 100 :원어민처럼 말하는 진짜 영어회화 : 100일 후, 당신의 입에서 나오는 영어에 놀랄 것이다!",김재우 지음,상상스퀘어,2023,9791192389172,7,4
000001556848,"(난생 처음 한번 공부하는) 경제 이야기 .1 ,기본 편 : 경제와 친해지는 준비 운동",송병건 지음,사회평론,2022,9791162732243,3,4
000001407580,(내 몸에 딱 맞는 교정 운동으로) 바르게 설 수 있다 :올바른 자세로 앉고 서고 걸어보자,온도니 지음,북스고(Booksgo),2020,9791189612726,5,4
000001794947,"(내일은 실험왕) 과학 용어 만화 사전 .2 ,생물 1",스토리 a. 글,Mirae N 아이세움: 미래엔,2025,9791173479045,4,4
000001094667,(데일 카네기) 인간관계론,데일 카네기 지음,베이직북스,2018,9791185160962,1,4
000001051148,빼앗긴 자들,어슐러 K. 르 귄 지음,황금가지,2002,9788982735622,8,4
000001793979,(도커로 구축한 랩에서 혼자 실습하며 배우는) 네트워크 프로토콜 입문 :OSI 2계층부터 7계층까지 내 컴퓨터에서 직접 체험하며 익히는 네트워크 기술,미야타 히로시 지음,위키북스,2025,9791158396244,0,4
000001739891,"(뚜식이의) 과학 일기 .1 ,뇌와 사춘기",뚜식이 원작,서울문화사,2024,9791169234610,4,4
000001660548,(리얼) 타이베이 :타이베이를 가장 멋지게 여행하는 방법 : 2024~2025년 최신판,김홍래 지음,한빛라이프,2024,9791193080269,9,4
000001787355,(만화로 배우는) 마인크래프트 지구 대백과 :unofficial book,마인크래프트 장인 조합 지음,제제의숲,2025,9791158733247,4,4
000001556736,(무조건 돈 버는) 카카오 이모티콘 만들기,김나무 지음,중앙books: 중앙일보에스,2022,9788927813040,3,4
000001727691,"(물리박사 김상욱의) 수상한 연구실 :어린이를 위한 세상의 모든 과학 .2 ,중력: 으악, 유령이다!",김하연 글,아울북: 북이십일,2023,9791171171026,4,4
000001758801,"(물리박사 김상욱의) 수상한 연구실 :어린이를 위한 세상의 모든 과학 .5 ,열 : 앗, 뜨거워! 앗, 차가워!",김하연 글,아울북: 북이십일,2024,9791171171057,4,4
000001758616,"(물리박사 김상욱의) 수상한 연구실 :어린이를 위한 세상의 모든 과학 .6 ,전기 : 찌릿찌릿! 아찔한 수련회",김하연 글,아울북 : 북이십일,2025,9791171174805,4,4
000001730253,(박태웅의) AI 강의 2025 :인공지능의 출현부터 일상으로의 침투까지 우리와 미래를 함께할 새로운 지능의 모든 것,박태웅 지음,한빛비즈,2024,9791157847679,3,4
000001757444,(버섯도리) 버섯탐정 :사건의 실체 .1,버섯도리 원작,Iconix(아이코닉스),2023,9788964137321,6,4
000000022305,(법률사무원을 위한) 종합법률실무 핸드북,김덕원,진원사,2012,9788963461410,3,4
000001590501,(보도 섀퍼) 부의 레버리지 :경제적 자유로 가는 가장 빠르고 확실한 길,보도 섀퍼 지음,비즈니스북스,2023,9791162543269,3,4
000001543014,(보도 섀퍼의) 이기는 습관 :불가능을 뛰어넘어 최후의 승자가 된 사람들,보도 섀퍼 지음,토네이도: 토네이도미디어그룹,2022,9791158512378,3,4
000001589774,"(빨간 내복의) 코딱지히어로 :초능력 과학 동화 .1 ,알쏭달쏭 물질",서지원 글,와이즈만 Books,2023,9791190744973,4,4
000001738459,"(빨간내복야코) 안 읽으면 완전 위험한 과학책 .2 ,집 나가면 위기",빨간내복야코 원작,위즈덤하우스,2025,9791171713417,4,4
000001794053,"(빨간내복야코) 안 읽으면 완전 위험한 과학책 .3 ,냡량 특집이 위기",빨간내복야코 원작,위즈덤하우스,2025,9791171714469,4,4
000001739686,"(빨간내복야코) 어린이 상식 :이거 모르면 지구인 아님 .1 ,속담",빨간내복야코 원작,아울북,2024,9791171178704,0,4
000001643169,"(설민석의) 그리스 로마 신화 대모험 .1 ,사라진 신들의 세상",설민석,Dankkum i(단꿈아이),2022,9791191496628,2,4
000001643170,"(설민석의) 그리스 로마 신화 대모험 .5 ,불을 훔친 프로메테우스",설민석,Dankkum i(단꿈아이),2023,9791193031278,2,4
000001653317,"(설민석의) 그리스 로마 신화 대모험 .6 ,가정의 여신 헤라",설민석,Dankkum i(단꿈아이),2024,9791193031377,2,4
000001674332,"(설민석의) 그리스 로마 신화 대모험 .7 ,태양의 신 아폴론",설민석,Dankkum i(단꿈아이),2024,9791193031612,2,4
000001720589,"(설민석의) 그리스 로마 신화 대모험 .8 ,달의 여신 아르테미스",설민석,Dankkum i(단꿈아이),2024,9791193031667,2,4
000001730352,"(슈뻘맨의) 슈퍼 상식 월드컵 .1 ,최강의 육상 동물",슈뻘맨 원작,주니어김영사: 김영사,2024,9788934911289,0,4
000001757519,(에그박사의) 채집 일기 :스티커로 채집하는 자연 생물 관찰 만화 .6,에그박사 원작,Mirae N 아이세움: 미래엔,2025,9791173475412,4,4
000001794620,(요즘 바이브 코딩) 클로드 코드 완벽 가이드 :입력이 다르면?결과물도 다르다!,최지호 지음,골든래빗,2025,9791194383437,0,4
000001641789,(요즘 어른을 위한) 최소한의 세계사,임소미 지음,빅피시,2023,9791193128428,9,4
000001793754,"(유현준의) 세계 건축 대모험 :창의력을 키우는 어린이 건축 여행 .1 ,이집트 : 피라미드 대탈출",강지혜 글,아울북: 북이십일 아울북,2025,9791173572166,5,4
000000787803,"(이이화) 한국사 이야기 .19 ,오백년 왕국의 종말",이이화 [지음],한길사,2015,9788935670017,9,4
000000787807,"(이이화) 한국사 이야기 .21 ,해방 그날이 오면",이이화 [지음],한길사,2015,9788935670031,9,4
000001782664,(일잘러의 무기가 되는) 엑셀 파워 쿼리,최준선 지음,한빛미디어,2025,9791169213707,0,4
000001717589,(읽으면서 바로 써먹는) 어린이 감정 표현,한날 글·그림,파란정원,2024,9791158682842,7,4
000001793115,"(정브르의) 거대 생물 일기 :가장 큰 설치류 카피바라, 심해 속 거대 등각류 등 브르의 거대 생물 탐험!",정브르 지음,서울문화사,2025,9791173714146,4,4
000001648795,(정브르의) 곤충 일기 :브르와 함께 곤충 탐험을 떠나요!,정브르 지음,서울문화사,2023,9791164384891,4,4
000001793057,"(정재승의) 인간 탐구 보고서 .17 ,음식, 인간의 마음을 요리하다",정재은 글,아울북 : 북이십일,2025,9788950983499,5,4
000001793170,(제발돼라) 엉뚱한 곤충 사전 :호기심을 해결하는 곤충 관찰 캡쳐북 .1,제발돼라 원작,서울문화사,2024,9791169232760,4,4
000001796549,"(지금 유용한, 쉽게 맥을 잡는) 단박에 중국사",심용환,북플랫,2023,9791198493408,9,4
000001574648,(진짜 진짜 재밌는) 자동차 그림책 :그림으로 배우는 신기한 지식 백과,리처드 드렛지 지음,라이카미,2022,9791190808637,5,4
000001590098,(진짜 하루만에 이해하는) 반도체 산업 :원데이클래스,박진성 지음,T.W.I.G(티더블유아이지),2023,9791191590128,5,4
000001555476,"(채사장의) 지대넓얕 :지적 대화를 위한 넓고 얕은 지식 .01 ,권력의 탄생",채사장,Dolphin Books(돌핀북),2021,9791197578410,0,4
000001582816,"(채사장의) 지대넓얕 :지적 대화를 위한 넓고 얕은 지식 .5 ,자본주의의 역습",채사장,Dolphin Books(돌핀북),2022,9791197578458,0,4
000001655709,"(처음 읽는) 그리스 로마 신화 .11 ,파리스의 선택 =First Greek mythology",최설희 글,Mirae N 아이세움 : 미래엔,2024,9791168417823,2,4
000001652447,"(처음 읽는) 그리스 로마 신화 .2 ,신들의 사랑과 질투 =First Greek mythology",최설희 글,Mirae N 아이세움 : 미래엔,2020,9791164135851,2,4
000001653190,"(처음 읽는) 그리스 로마 신화 .8 ,영웅 헤라클레스 =First Greek mythology",최설희 글,Mirae N 아이세움 : 미래엔,2022,9791168412712,2,4
000001786529,(초급자를 위한) 정비시스템 감리 실무,한필순 지음,북랩,2025,9791172244781,0,4
000001745503,(최소 노력으로 삶에 윤기를 더하는) 꾸준함의 기술,이노우에 신파치 지음,알에이치코리아(RHK),2025,9788925573991,1,4
000001720666,(콘텐츠로 풀어 낸 알기 쉬운) 미국 문화,김상조,북스힐,2024,9791159715945,3,4
000001788400,(클로즈업) 후쿠오카 :유후인｜벳푸｜나가사키｜기타큐슈｜12개 소도시: 쉬운 여행: 스마트 QR 가이드북 =Fukuoka,유재우,에디터,2025,9788967442910,9,4
000001767482,(타키 포오) 얼렁뚱땅 상식스쿨 :초등 상식 완전 정복! .6,캐릭온TV 원작,대원키즈: 대원씨아이,2025,9791142316661,0,4
000001739730,"(타키·포오) 탐정사무소 .1 ,프랑스 파리에 나타난 괴도 물음표",캐릭온TV 원작,대원키즈 : 대원씨아이,2024,9791172456597,9,4
000001755209,(프렌즈) 오키나와 :생애 첫 여행친구 프렌즈 travel guide : 최신판 '25~'26 =Okinawa,이주영 지음,중앙books : 중앙일보에스,2024,9788927880684,9,4
000001717592,(한 달에 10만원) 도시락 만들기 :요리 인플루언서 '비야도시락'의 식비 절약 도시락 레시피,비야도시락 지음,길벗,2024,9791140710089,5,4
000001784513,(한 번에 완성하는) AI 영상 제작 :with 챗GPT+소라+브루,권유라 지음,제이펍,2025,9791194587309,0,4
000001755745,(혼자해도 쉽게 배우는) 릴리의 어반스케치 :차근차근 배우는 펜 드로잉부터 수채화까지 =Urban Sketch,릴리의 아뜰리에 지음,심통,2025,9791193247082,6,4
000001733759,"(흔한남매) 과학 탐험대 .12 ,공룡과 화석",흔한남매 원작,주니어김영사: 김영사,2024,9791194330592,4,4
000001737402,"(흔한남매) 과학 탐험대 .13 ,생식과 유전",흔한남매 원작,주니어김영사: 김영사,2024,9791173320101,4,4
000001754695,"(흔한남매) 과학 탐험대 .14 ,화학 반응",흔한남매 원작,주니어김영사: 김영사,2025,9791173321610,4,4
000001795706,"(흔한남매) 과학 탐험대 .15 ,바다",흔한남매 원작,주니어김영사: 김영사,2025,9791173322914,4,4
000001720433,"(흔한남매) 별난 세계 여행 .3 ,세계 축제",흔한남매 원작,Mirae N 아이세움: 미래엔,2024,9791168418424,9,4
000001796239,"(흔한남매) 별난 세계 여행 .5 ,세계 자연유산",흔한남매 원작,Mirae N 아이세움: 미래엔,2025,9791173479977,9,4
000001724556,"(흔한남매) 세계사 탐험대 .1 ,고대 문명의 탄생",흔한남매 원작,주니어김영사: 김영사,2024,9788934941330,9,4
000001794552,"(흔한남매) 세계사 탐험대 .4 ,춘추 전국 시대와 한나라",흔한남매 원작,주니어김영사: 김영사,2025,9791173322907,9,4
000001731838,(흔한남매) 수수께끼 어드벤처 .5,흔한남매 원작,Mirae N 아이세움 : 아이세움,2024,9791173113444,3,4
000001738927,(흔한남매) 흔한 게임 .2,흔한남매 원작,Mirae N 아이세움 : 아이세움,2025,9791173470660,6,4
000001795707,(흔한남매) 흔한 게임 .3,흔한남매 원작,Mirae N 아이세움 : 미래엔,2025,9791173479922,6,4
000001644509,(흔한남매의) 흔한 호기심 :일상에서 만나는 과학 상식 .10,흔한남매 원작,MiraeN아이세움: 미래엔,2023,9791168416598,4,4
000001729451,(흔한남매의) 흔한 호기심 :일상에서 만나는 과학 상식 .12,흔한남매 원작,MiraeN아이세움: 미래엔,2024,9791168419018,4,4
000001626156,1%를 보는 눈 :기계가 도달할 수 없는 오직 인간만이 가능한 창의성의 경지,크리스 존스 지음,추수밭: 청림출판,2023,9791155402153,1,4
000001633380,12가지 인생의 법칙 :혼돈의 해독제,조던 B. 피터슨 지음,메이븐,2023,9791190538534,1,4
000001643675,13·67 :찬호께이 장편소설,찬호께이 [지음],한스미디어 : 한즈미디어,2023,9791160078572,8,4
000000309996,13계단,다카노 가즈아키 [지음],황금가지,2005,9788982738654,8,4
000000004273,"1Q84 :무라카미 하루키 장편소설 .1 ,4月-6月",무라카미 하루키 [지음],문학동네,2009,9788954608640,8,4
000001095343,"1일 1드로잉 :펜 하나로 쓱, 여행 드로잉 어반 스케치 : 수지의#하루",허수정 지음,책밥,2017,9791186925256,6,4
000001393216,30개 도시로 읽는 세계사 :세계 문명을 단숨에 독파하는 역사 이야기,조 지무쇼 편저,다산초당 : 다산북스,2020,9791130630366,9,4
000001796712,5번 플랫폼의 사람들 :클레어 풀리 장편소설,클레어 풀리 지음,문학동네,2025,9791141613181,8,4
000001015600,5초의 법칙 :당신을 시작하게 만드는 빠른 결정의 힘,멜 로빈스 지음,한빛비즈,2017,9791157842049,3,4
000001796124,"AGI, 천사인가 악마인가 :인간의 마지막 질문",김대식 지음,동아시아,2025,9788962626667,3,4
000001737350,AI :트렌드 & 활용백과 .2025,김덕진 지음,스마트북스,2024,9791193674185,3,4
000001786650,AI 고속도로 :AI를 잡는 자가 미래를 잡는다 =AI highway,송경창 지음,밝은사람들,2024,9791186270400,3,4
000001729445,AI 로봇 세계에서 살아남기 .1,곰돌이 co. 글,미래엔아이세움,2024,9791168419193,4,4
000001739009,AI 로봇 세계에서 살아남기 .2,곰돌이 co. 글,미래엔아이세움,2025,9791173470646,4,4
000001736633,AI 리터러시 :인공지능 필수 지식부터 완벽 활용까지: 여전히 챗GPT만 붙들고 있는 당신에게 =Artifical intelligence literacy,김용성 지음,프리렉,2024,9788965404026,0,4
000001619810,"AI 이후의 세계 :챗GPT는 시작일 뿐이다, 세계질서 대전환에 대비하라",헨리 A. 키신저,윌북,2023,9791155816066,3,4
000001786572,"AI, 편견을 넘다 :다양성을 품은 인공지능의 미래",강정한,R(롤러코스터),2024,9791191311587,0,4
000001509229,ETF 초보자가 가장 알고 싶은 최다질문 TOP 56 :ETF 투자자라면 꼭 알아야 할 핵심만 담았다!,나수지 지음,메이트북스: 원앤원콘텐츠그룹,2021,9791160023473,3,4
000001739649,"Go go 카카오프렌즈 :역사 문화: 세계 역사 문화 체험 학습만화 .34 ,핀란드(Finland)",김미영 글,아울북×Kakao Friends: 북이십일 아울북,2024,9791171178582,9,4
000001727642,"Go go 카카오프렌즈 :자연탐사 .8 ,남극 빙하",조주희 글,아울북xKakao Friends : 북이십일,2024,9791171176465,4,4
000001229793,Holy sh*t :a brief history of swearing,[by] Melissa Mohr,Oxford University Press,2016,9780190491680,7,4
000001388495,I who have never known men :a novel,[by] Jacqueline Harpman,Vintage,2019,9781529111798,8,4
000001783333,Orbital :a novel,[by] Samantha Harvey,Grove Press,2023,9780802161543,8,4
000001561839,Verity,[by] Colleen Hoover,Grand Central Publishing,2021,9781538724736,8,4
000001523501,ゲームミュージック作曲テクニック :名作の技から学ぶ,平沢栄司 著,グラフィック社,2020,9784766134735,6,4
000001647516,"가난한 아이들은 어떻게 어른이 되는가 :빈곤과 청소년, 10년의 기록",강지나 지음,돌베개,2023,9791192836355,3,4
000001788946,가짜 결핍 :욕망의 뇌가 만들어 낸 여전히 부족하다는 착각,마이클 이스터 지음,부키,2025,9791193528716,1,4
000001563998,가짜 노동 :스스로 만드는 번아웃의 세계,데니스 뇌르마르크,자음과모음,2022,9788954448413,3,4
000001729916,갈매기에게 나는 법을 가르쳐준 고양이,루이스 세뿔베다 지음,바다출판사,2021,9791166890475,8,4
000001410511,강남 사장님 :이지음 장편동화,이지음 글씀,비룡소,2020,9788949121925,8,4
000001675702,강인함의 힘 :회복탄력성을 능가하는 강인함의 비밀,스티브 매그니스 지음,상상스퀘어,2024,9791192389776,3,4
000001408898,강철왕국 프로이센,크리스토퍼 클라크 지음,마티,2020,9791190853026,9,4
000001796553,같은 달 아래,지미 리아오,레드스톤,2018,9791188077168,8,4
000001796557,개구리,지은이: 모옌,민음사,2021,9788937463648,8,4
000001513834,개구리,모옌 지음,민음사,2021,9788937463648,8,4
000001592000,거시경제학,N. Gregory Mankiw 지음,시그마프레스,2023,9791162264157,3,4
000001542599,거의 모든 행동 표현의 영어 :영어의 반경이 넓어진다!,서영조 지음,사람in,2022,9788960499379,7,4
000001591175,거인의 노트 :인생에서 무엇을 보고 어떻게 기록할 것인가,김익한 지음,다산북스,2023,9791130697529,3,4
000001509373,겨울,앨리 스미스 지음,민음사,2021,9788937444456,8,4
000000016848,경리초보자들이 가장 궁금해하는 회계·세무,한성욱 [저],새로운 제안,2012,9788955333947,3,4
000001272814,경매 권리분석 이렇게 쉬웠어? :생초보도 할 수 있는 초간단 권리분석법 대공개!,박희철 지음,지혜로,2019,9791187799078,3,4
000001795888,경성 풍경 :지도와 사진으로 만나는 근대 서울의 원형,김상엽 지음,혜화1117,2025,9791191133349,9,4
000001636973,경험은 어떻게 유전자에 새겨지는가 :환경과 맥락에 따라 달라지는 유전체에 관한 행동 후성유전학의 놀라운 발견,데이비드 무어 지음,아몬드,2023,9791192465111,4,4
000001794096,고구려 최후의 날 :박상기 장편동화,박상기 지음,비룡소,2025,9788949122106,8,4
000001796552,고양이 자장가,탕무니우,보림,2025,9788943317720,8,4
000001301928,곰팡이 수지 :곰팡이의 거의 모든 것,레오노라 라이틀 지음,스콜라 : 위즈덤하우스,2018,9788962479706,4,4
000001749655,공간인간,유현준 지음,을유문화사,2025,9788932475400,5,4
000001543179,공룡 목욕탕,우성희 글,리틀씨앤톡,2022,9788960988026,8,4
000001739328,광막한 사르가소 바다 :진 리스 소설,진 리스 지음,웅진지식하우스 : 웅진씽크빅,2024,9788901288284,8,4
000001789233,교황 레오 14세 :최초 공식 전기,도메니코 아가소 지음,가톨릭출판사,2025,9788932119601,2,4
000000158517,구약성경과 신들,주원준 지음,한님성서연구소,2012,9788994359175,2,4
000001785676,궤도,서맨사 하비 지음,서해문집,2025,9791194413394,8,4
000001729427,그거 사전 :대체로 즐겁고 가끔은 지적이며 때로는 유머러스한 사물들의 이야기,홍성윤 지음,인플루엔셜(Influential),2024,9791168342286,0,4
000001473693,그녀는 다 계획이 있다 :히가시노 게이고 장편소설,히가시노 게이고 지음,하빌리스: 대원씨아이,2021,9791136264473,8,4
000001750991,그녀를 지키다 :장바티스트 앙드레아 장편소설,장바티스트 앙드레아 지음,열린책들,2025,9788932924984,8,4
000001043840,그대 눈동자에 건배 :히가시노 게이고 소설집,히가시노 게이고 [지음],현대문학,2017,9788972758426,8,4
000001408926,그랜드 투어 :엘리트 교육의 최종 단계 =The grand tour,설혜심 지음,휴머니스트출판그룹(H),2020,9791160804843,9,4
000001267657,그리고 아무도 없었다 :애거서 크리스티 장편 소설,애거서 크리스티 [지음],황금가지,2013,9788960177758,8,4
000001783119,기암관의 살인,다카노 유시 지음,허밍북스,2024,9791198183002,8,4
000001383715,기억 :베르나르 베르베르 장편소설 .1,베르나르 베르베르 지음,열린책들,2020,9788932920337,8,4
000001721189,기억 전달자,로이스 로리 글,비룡소,2024,9788949123554,8,4
000001757579,기울어진 평등 :부와 권력은 왜 불평등을 허락하는가,토마 피케티,와이즈베리: 미래엔,2025,9791173475535,3,4
000001793145,김구,스토리박스 글,다산어린이 : 다산북스,2025,9791130665405,9,4
000001794117,"김영하의 세계문학 원정대 .6 ,15소년 표류기",박시연 스토리,주니어김영사 : 김영사,2025,9791173322600,8,4
000001460169,깊이에의 강요,파트리크 쥐스킨트 지음,열린책들,2020,9788932920238,8,4
000001627935,꿀벌의 예언 :베르나르 베르베르 장편소설 .1,베르나르 베르베르 지음,열린책들,2023,9788932923413,8,4
000001796341,나 홀로 온천 여행,다카기 나오코 지음,살림출판사,2021,9788952243072,9,4
000001031674,나는 4시간만 일한다 :디지털 노마드 시대 완전히 새로운 삶의 방식,팀 페리스 지음,빛과향기: 다른상상,2017,9791185584454,3,4
000001790805,나는 북경의 택배기사입니다 :일이 내게 가르쳐준 삶의 품위에 대하여,후안옌 지음,윌북,2025,9791155818299,8,4
000001653342,사라진 것들 :앤드루 포터 소설,앤드루 포터 지음,문학동네,2024,9788954697354,8,4
000001719410,나는 왜 남들보다 쉽게 지칠까 :무던해 보이지만 누구보다 예민한 HSP를 위한 심리학,최재훈 지음,서스테인,2024,9791193388075,1,4
000001796221,나무의 시대 :목재가 이룩한 인류 문명의 위대한 서사,롤랜드 에노스 지음,더숲,2025,9791194273011,4,4
000001796258,나쁜 유전자 :세계사를 뒤바꾼 문제적 유전자 바로 읽기,정우현 지음,이른비,2025,9791198285072,4,4
000001785243,나에게만 보이는 살인,테라시마 요우 지음,북플라자,2025,9791193324509,8,4
000001012233,"나의 문화유산답사기 .9 ,서울편1 : 만천명월 주인옹은 말한다",유홍준 지음,창비,2017,9788936474393,9,4
000001796545,나의 문화유산답사기 중국편 1 : 돈황과 하서주랑,유홍준,창비,2019,9788936477127,9,4
000001796546,나의 문화유산답사기 중국편 2 : 막고굴과 실크로드의 관문,유홍준,창비,2019,9788936477134,9,4
000001796547,나의 문화유산답사기 중국편 3 : 실크로드의 오아시스 도시,유홍준,창비,2020,9788936478032,9,4
000001794970,"나이 드는 몸 돌보는 법 :완경 전에 알아야 할 체력, 시간, 돈 준비 가이드",신예희 지음,유유,2025,9791167701336,5,4
000001610812,"나홀로 소송, 당신도 승소 할 수 있다",이종섭 저자,법문북스,2023,9791192369716,3,4
000001400372,내러티브 & 넘버스 :숫자에 가치를 더하는 이야기의 힘,애스워드 다모다란 지음,한빛비즈,2020,9791157843763,3,4
000001660637,"냉정과 열정 사이 .[2] ,rosso",에쿠니 가오리 지음,소담출판사,2024,9791160274479,8,4
000000850012,너무 시끄러운 고독 :보후밀 흐라발 장편소설,보후밀 흐라발 [지음],문학동네,2016,9788954641548,8,4
000001783065,"넥서스 :석기시대부터 AI까지, 정보 네트워크로 보는 인류 역사 [큰글자도서] .1",유발 하라리 지음,김영사,2025,9791173321559,0,4
000001406584,노동조합 100문 100답 :노동조합 설립·단체교섭·파업·부당노동행위 당신이 노동조합에 궁금한 모든 것 =Trade union QnA 100,박성우,매일노동뉴스,2020,9788997205004,3,4
000001722083,노션 저널 :일상을 관리하고 경험을 기록하는 힘 =Notion journal,김지혜 지음,Icox(아이콕스),2024,9791164262458,0,4
000001793861,노션하는 직장인의 정리법 :업무력이 수직 상승하는 노션 실전 가이드,지니언트 지음,프리렉,2025,9788965404149,0,4
000000298713,노인과 바다,어니스트 헤밍웨이 지음,민음사,2012,9788937462788,8,4
000001240815,"놓지 마 과학! .1 ,정신이 달에 정신 놓다",신태훈,위즈덤하우스 미디어그룹,2016,9788960869646,4,4
000001589778,"놓지 마 과학! .15 ,사라진 마이아사우라의 호박 장식을 찾아라",신태훈,위즈덤하우스,2021,9791191766318,4,4
000001629701,"놓지 마 과학! .18 ,악마견의 숨겨진 진실",신태훈,위즈덤하우스,2023,9791168126336,4,4
000001649743,"놓지 마 맞춤법 .2 ,불꽃 튀는 본선 속으로",신태훈,주니어김영사 : 김영사,2023,9788934946601,7,4
000001796560,뇌우,편집부,민음사,2016,9788937463440,8,4
000000179398,누구를 위하여 종은 울리나 .1,어니스트 헤밍웨이 지음,민음사,2012,9788937462887,8,4
000001731582,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,정희원 지음,한빛라이프,2023,9791193080146,5,4
000001796140,니케아 신경 형성기 :신경의 불완전한 말들을 형성한 사람들의 이야기 : 신경의 불완전한 말들이 형성한 사람들의 이야기,곽계일 지음,다함,2025,9791199430709,2,4
000001046283,다빈치의 비밀노트 :레오나르도 다빈치의 천재성의 비밀을 밝혀주는 100가지 이야기!,마리오 타데이 지음,자유문고,2017,9788970301150,6,4
000001787361,닥터 K 역대급 발명왕 :세상을 바꾼 무모한 도전 .1,애덤 케이 씀,윌북주니어 : 윌북,2025,9791155817902,5,4
000001796558,달빛을 베다,모옌,문학동네,2008,9788954606455,8,4
000000963958,당신 인생의 이야기 :테드 창 소설,테드 창 [지음],엘리 : 북하우스 퍼블리셔스,2016,9788956057842,8,4
000001588725,당신도 느리게 나이 들 수 있습니다,정희원 지음,더 퀘스트: 길벗,2023,9791140702589,5,4
000001788205,당신만이 알고 있다 =Know it all,모리 바지루 지음,하빌리스: 대원씨아이,2025,9791142313936,8,4
000000656930,대성당 :레이먼드 카버 소설,레이먼드 카버 [지음],문학동네,2014,9788954625296,8,4
000001736148,도쿄 킷사텐 여행 :존 레넌에서 하루키까지 예술가들의 문화 살롱,최민지 지음,남해의봄날,2024,9791193027387,9,4
000001556594,독서법이 잘못됐습니다 :한 권을 읽더라도 제대로 읽는 아웃풋 독서법,아바타로 지음,필름: 필름(Feelm) 출판사,2022,9791192403038,0,4
000000941718,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설,야쿠마루 가쿠 지음,북플라자(Book plaza),2017,9788998274795,8,4
000001739533,두부의 캐릭터 드로잉 with 프로크리에이트 :누구나 할 수 있는 나만의 캐릭터와 굿즈 만들기,두부 지음,한빛미디어,2024,9791169212809,6,4
000001738437,디스 이즈 도쿄 :도쿄 요코하마 가마쿠라 하코네 가와구치코: 2025~2026년 최신판 =This is Tokyo,박설희,Terra(테라),2025,9791192767239,9,4
000001745525,디스 이즈 이탈리아 =This is Italia,전혜진,Terra(테라),2025,9791192767284,9,4
000001721786,디스 이즈 홋카이도 :2024~2025년 최신판 =This is Hokkaido,권예나,테라(Terra),2024,9791192767185,9,4
000001794892,디스펠 :이마무라 마사히로 장편소설,이마무라 마사히로 지음,내친구의서재,2025,9791191803488,8,4
000001795091,디자인 컨셉 사전 :죽은 콘텐츠도 살리는 크리에이터의 말,테오 잉글리스 지음,윌북,2025,9791155818503,6,4
000001633416,레이크사이드 :히가시노 게이고 장편소설,히가시노 게이고 지음,하빌리스: 대원씨아이,2023,9791171240593,8,4
000001359181,"로마인 이야기 .4 ,율리우스 카이사르 상 =Res Gestae Populi Romani Ⅳ: C.Iulius Caesar",시오노 나나미 지음,한길사,2019,9788935610273,9,4
000000832438,로봇 세계에서 살아남기 .2,김정욱 글,미래엔(MiraeN): 아이세움,2012,9788937883804,4,4
000001629268,리스본행 야간열차 :파스칼 메르시어 장편소설,파스칼 메르시어 지음,비채 : 김영사,2022,9788934940715,8,4
000000850020,리틀 라이프 :한야 야나기하라 장편소설 .2,한야 야나기하라 [지음],시공사,2016,9788952776389,8,4
000001796551,린할머니의 복숭아나무,탕무니우,보림,2019,9788943311971,8,4
000001795889,"마라톤, 저 뛰어도 될까요? :부상 없이 완주하는 42.195km",남혁우 지음,매일경제신문사,2025,9791164847976,6,4
000001790886,"마법천자문 :손오공의 한자 대탐험 .67 ,싸움의 계획을 세우다! 작전(作戰)",알에스미디어 글,아울북: 북이십일,2025,9791173573019,7,4
000001758310,마이 가디언,이재문 글,이지북,2024,9791193914519,8,4
