제어번호,제목,저자,발행처,발행년도,ISBN번호,분류기호,대출횟수
000001627457,"딸아, 돈 공부 절대 미루지 마라 :돈과 인생에 대한 가장 현실적인 조언 50",박소연 지음,메이븐,2023,9791190538572,3,10
000000298699,면도날,서머싯 몸 지음,민음사,2009,9788937462146,8,10
000001590691,방주 :유키 하루오 장편소설,유키 하루오 지음,블루홀6(블루홀식스),2023,9791189571894,8,10
000001590895,세상은 실제로 어떻게 돌아가는가 :우리의 문명을 정확하게 이해하기 위한 과학적 접근,바츨라프 스밀 지음,김영사,2023,9788934950967,3,10
000001655455,스토너,존 윌리엄스 지음,RHK(알에이치코리아),2020,9788925538297,8,10
000001636955,시대예보 :핵개인의 시대 =Forecast of the times: era of nuclear individuals,송길영 저,교보문고,2023,9791170610359,3,10
000000827354,종의 기원 :정유정 장편소설 =The origin of species,정유정 지음,은행나무,2016,9788956609959,8,10
000001058983,파친코 :이민진 장편소설 .1,이민진 지음,문학사상,2018,9788970129815,8,10
000001633605,하우스 메이드,프리다 맥파든 지음,Book Plaza(북플라자),2023,9791190157551,8,10
000001782886,(엔비디아 젠슨 황) 생각하는 기계,스티븐 위트 지음,RHK(알에이치코리아),2025,9788925573762,3,9
000001633392,1%를 읽는 힘 :세상의 정보를 연결해서 기회를 포착하는 생각 혁신,메르 지음,Tornado(토네이도)  : 토네이도미디어그룹,2023,9791158512767,3,9
000000007813,7년의 밤 :정유정 장편소설,정유정 지음,은행나무,2011,9788956604992,8,9
000001793726,가공범,히가시노 게이고 지음,북다: 교보문고,2025,9791170612759,8,9
000001645118,구의 증명 :최진영 소설,최진영 지음,은행나무,2023,9791167372864,8,9
000000722900,구의 증명 :최진영 소설,최진영 지음,은행나무,2015,9788956608556,8,9
000001329643,"그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘",앤절라 더크워스 지음,비즈니스북스,2019,9791162540633,3,9
000000270510,나미야 잡화점의 기적 :히가시노 게이고 장편소설,히가시노 게이고 지음,현대문학,2012,9788972756194,8,9
000000847872,나의 눈부신 친구,엘레나 페란테 지음,한길사,2016,9788935669738,8,9
000001612302,나의 돈 많은 고등학교 친구 :슈퍼리치와의 대화에서 찾아낸 부자의 길,송희구 지음,서삼독,2023,9791165347161,3,9
000001740462,나의 작은 무법자,크리스 휘타커 지음,위즈덤하우스,2025,9791171713721,8,9
000001031753,노르웨이의 숲,무라카미 하루키 지음,민음사,2017,9788937434488,8,9
000001750999,단 한 번의 삶,김영하 지음,복복서가,2025,9791191114768,8,9
000001318628,대도시의 사랑법 :박상영 연작소설,박상영 지음,창비,2019,9788936437978,8,9
000001561422,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,김승호 지음,Snowfox: 스노우폭스북스,2020,9791188331796,3,9
000001682454,두 사람의 인터내셔널 :김기태 소설,김기태 지음,문학동네,2024,9788954697941,8,9
000001591258,두고 온 여름 :성해나 소설,성해나 지음,창비,2023,9788936439002,8,9
000001523906,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",룰루 밀러 지음,곰출판,2021,9791189327156,4,9
000001563027,불편한 편의점 :김호연 장편소설 .2,김호연 지음,나무옆의자,2022,9791161571379,8,9
000000298646,브람스를 좋아하세요..,프랑수아즈 사강 지음,민음사,2008,9788937461798,8,9
000001590545,사피엔스,유발 하라리 지음,김영사,2023,9788934943235,9,9
000001751048,소란한 속삭임,예소연 지음,위즈덤하우스,2025,9791171717316,8,9
000001732028,어른의 행복은 조용하다,태수 글,page2(페이지2북스),2024,9791169851053,8,9
000000932994,영어책 한 권 외워봤니?,김민식 지음,위즈덤하우스: 위즈덤하우스 미디어그룹,2017,9788960863132,7,9
000001043523,우리는 언제나 다시 만나,윤여림 글,위즈덤하우스 미디어그룹: 스콜라,2017,9788962478518,8,9
000001746302,작은 땅의 야수들 :김주혜 장편소설,김주혜 지음,다산책방 : 다산북스,2024,9791130642574,8,9
000001717697,허송세월 :김훈 산문,김훈 지음,나남출판,2024,9788930041683,8,9
000001509078,"(서울 자가에 대기업 다니는) 김 부장 이야기 .2 ,정 대리·권 사원 편",송희구 지음,서삼독,2021,9791165344009,3,8
000001516471,"(서울 자가에 대기업 다니는) 김 부장 이야기 .3 ,송 과장 편",송희구 지음,서삼독,2021,9791165344221,3,8
000001796781,"(서울) 아리랑 :류영선 장편소설 .上 ,잘살아 보세",류영선 지음,지식과감성#,2024,9791139217780,8,8
000001058872,(지방 대사 켜는) 스위치온 다이어트,박용우 지음,루미너스,2018,9791196334703,5,8
000001783165,"경험의 멸종 :기술이 경험을 대체하는 시대, 인간은 계속 인간일 수 있을까",크리스틴 로젠 지음,어크로스: 어크로스출판그룹,2025,9791167742063,3,8
000001754642,고독한 용의자 :찬호께이 장편소설,찬호께이 지음,위즈덤하우스,2025,9791171713608,8,8
000001405842,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가,마이클 샌델 지음,와이즈베리: 미래엔,2020,9791164136452,3,8
000001580278,군인은 어때?,최무룡 지음,Talk Show(토크쇼),2022,9791191299953,3,8
000001588429,급류 :정대건 장편소설,정대건 지음,민음사,2022,9788937473401,8,8
000001628575,나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,고명환 지음,라곰,2023,9791189686826,0,8
000001137438,내게 무해한 사람 :최은영 소설,최은영 지음,문학동네,2018,9788954651820,8,8
000001739088,너를 미워할 시간에 나를 사랑하기로 했다 :관계에 휘둘리지 않고 나를 지키는 방법,윤서진 지음,스몰빅라이프 : 스몰빅미디어,2024,9791191731712,1,8
000001793910,다크 심리학 =Dark psychology,다크 사이드 프로젝트 지음,ascending(어센딩),2025,9791198754080,1,8
000001297579,달러는 왜 비트코인을 싫어하는가 :화폐의 역사와 블록체인 기술로 알아보는 비트코인의 참모습,사이페딘 아모스 지음,터닝포인트,2018,9791161340333,3,8
000001729183,대온실 수리 보고서 :김금희 장편소설,김금희 지음,창비,2024,9788936439651,8,8
000001267668,돌이킬 수 있는 :문목하 장편소설 =Eversible,문목하 지음,아작,2018,9791189015381,8,8
000001150646,모스크바의 신사 :에이모 토울스 장편소설,에이모 토울스 [지음],현대문학,2018,9788972758945,8,8
000001655592,물질의 세계 :6가지 물질이 그려내는 인류 문명의 대서사시,에드 콘웨이 지음,인플루엔셜(Influential),2024,9791168341746,3,8
000001185774,방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,조원재 지음,백도씨: 블랙피쉬,2018,9788968331862,6,8
000001526199,백광 :렌조 미키히코 장편소설,렌조 미키히코 지음,모모: 바이포엠 스튜디오,2022,9791191043617,8,8
000001509147,사랑의 기술,에리히 프롬 지음,문예출판사,2021,9788931011623,1,8
000001674397,"삼체 .1부 ,삼체문제 =The three body",류츠신 지음,자음과모음,2020,9788954442695,8,8
000001082105,세계를 건너 너에게 갈게 :이꽃님 장편소설,이꽃님 지음,문학동네,2018,9788954650212,8,8
000001522009,슬기로운 군대생활 :정보에서 경험담까지 현역장교의 스마트한 군생활 안내서,김성완 지음,미션그라운드,2021,9791196218393,3,8
000001722311,시한부 :백은별 장편소설,백은별 지음,바른북스,2024,9791193647646,8,8
000001719436,십계 :유키 하루오 장편소설,유키 하루오 지음,블루홀6(블루홀식스),2024,9791193149232,8,8
000001631432,아주 희미한 빛으로도 :최은영 소설,최은영 지음,문학동네,2023,9788954695053,8,8
000001737496,"악마와 함께 춤을 :시기, 질투, 분노는 어떻게 삶의 거름이 되는가",크리스타 K. 토마슨 지음,흐름출판,2024,9788965966814,1,8
000001719443,오렌지와 빵칼 :청예 장편소설 =Orange and bread knife,청예 지음,허블,2024,9791193078259,8,8
000000647484,우리 본성의 선한 천사 :인간은 폭력성과 어떻게 싸워 왔는가,스티븐 핑커 지음,사이언스북스,2014,9788983716897,3,8
000001752155,우리가 열 번을 나고 죽을 때,성해나 지음,위즈덤하우스,2025,9791171717330,8,8
000001519599,월든,헨리 데이비드 소로 지음,민음사,2021,9788937463952,8,8
000001575408,이상한 집,우케쓰 지음,Readbie: 디앤씨미디어,2022,9791197708572,8,8
000001722692,이중 하나는 거짓말 :김애란 장편소설,김애란 지음,문학동네,2024,9791141601300,8,8
000001570783,작은 땅의 야수들 :김주혜 장편소설,김주혜 지음,다산책방: 다산북스,2022,9791130693927,8,8
000001785452,장미와 나이프,히가시노 게이고 지음,반타: 오팬하우스,2025,9791194930136,8,8
000001720434,적산가옥의 유령 :조예은 소설,조예은 지음,H(현대문학),2024,9791167902580,8,8
000001655436,철학은 날씨를 바꾼다 :삶을 쓰다듬는 위안의 책,서동욱 지음,김영사,2024,9788934971351,1,8
000001280251,팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유,한스 로슬링,김영사,2019,9788934985068,1,8
000001644110,(굴릴수록 눈덩이처럼 불어나는) 마법의 연금 굴리기,김성일 지음,에이지21(에이지이십일),2023,9788998342784,3,7
000001094170,(전설로 떠나는) 월가의 영웅 :주식투자에서 상식으로 성공하는 법,피터 린치,국일증권경제연구소,2017,9788957821176,3,7
000000298219,1984,조지 오웰 지음,민음사,2003,9788937460777,8,7
000001724542,가연물 =Combustible substances,요네자와 호노부 지음,Readbie : 디앤씨미디어,2024,9791192738406,8,7
000001051179,검은 사슴 :한강 장편소설,한강 지음,문학동네,2017,9788954648905,8,7
000000269483,그 많던 싱아는 누가 다 먹었을까 :박완서 장편소설,박완서 지음,세계사,2012,9788933801925,8,7
000001730202,길 위의 뇌 :뇌를 치료하는 의사 러너가 20년 동안 달리면서 알게 된 것들: 건강한 뇌 만들기,정세희 지음,한스미디어: 한즈미디어,2024,9791193712559,5,7
000001737546,나라를 위해서 일한다는 거짓말 :한국 공직사회는 왜 그토록 무능해졌는가,노한동 지음,Sideways(사이드웨이),2024,9791191998375,3,7
000001655736,나를 소모하지 않는 현명한 태도에 관하여,마티아스 뇔케 지음,퍼스트펭귄,2024,9791198682505,1,7
000001653291,내몸혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,박용우 지음,루미너스,2024,9791198553317,5,7
000001629053,너무나 많은 여름이,김연수 지음,레제,2023,9791196722012,8,7
